date,open,high,low,close,volume
5/22/2017,312.8,314.37,306.8,310.35,4324305
5/19/2017,315.5,316.5,310.2,310.83,4654580
5/18/2017,307,313.94,305.31,313.06,5609153
5/17/2017,314.39,314.63,305.5,306.11,6695657
5/16/2017,317.59,320.06,315.14,317.01,4141066
5/15/2017,318.38,320.2,312.53,315.88,7606854
5/12/2017,325.48,327,321.53,324.81,4118613
5/11/2017,323.4,326,319.6,323.1,4747172
5/10/2017,321.56,325.5,318.12,325.22,5734524
5/9/2017,309.38,321.99,309.1,321.26,9663374
5/8/2017,310.9,313.79,305.82,307.19,7002907
5/5/2017,298,308.55,296.8,308.35,8117449
5/4/2017,307.435,307.77,290.7601,295.46,14135990
5/3/2017,317.67,321.53,310.45,311.02,6879259
5/2/2017,324,327.6599,316.5601,318.89,5316551
5/1/2017,314.88,327.25,314.81,322.83,8819888
4/28/2017,309.83,314.8,308,314.07,4496659
4/27/2017,311.69,313.09,307.5,308.63,3462663
4/26/2017,312.37,314.5,309,310.17,4683131
4/25/2017,308,313.98,305.86,313.79,6734162
4/24/2017,309.22,310.55,306.0215,308.03,5077771
4/21/2017,302,306.4,300.42,305.6,4501958
4/20/2017,306.51,309.15,300.23,302.51,6145961
4/19/2017,302.46,306.62,302.11,305.52,3891145
4/18/2017,299.7,300.8399,297.9,300.25,3034225
4/17/2017,302.7,304,298.68,301.44,4128067
4/13/2017,296.7,307.39,295.3,304,9275682
4/12/2017,306.34,308.4481,296.32,296.84,6043648
4/11/2017,313.38,313.47,305.5,308.71,5718053
4/10/2017,309.15,313.7299,308.71,312.39,7653623
4/7/2017,297.5,302.69,297.15,302.54,4566632
4/6/2017,296.88,301.94,294.1,298.7,5517731
4/5/2017,302.04,304.88,294.2,295,7858565
4/4/2017,296.89,304.81,294.53,303.7,10108230
4/3/2017,286.9,299,284.58,298.52,13864850
3/31/2017,278.73,279.68,276.3197,278.3,3293698
3/30/2017,278.04,282,277.21,277.92,4141437
3/29/2017,278.34,279.6,275.54,277.38,3672526
3/28/2017,277.02,280.68,275,277.45,7978665
3/27/2017,260.6,270.57,259.75,270.22,6221361
3/24/2017,255.7,263.89,255.01,263.16,5637668
3/23/2017,255.39,257.672,253.3,254.78,3309844
3/22/2017,251.56,255.07,250.51,255.01,4056735
3/21/2017,262.83,264.8,250.24,250.68,6901555
3/20/2017,260.6,264.55,258.821,261.92,3601616
3/17/2017,264,265.33,261.2,261.5,6491018
3/16/2017,262.4,265.75,259.06,262.05,7127180
3/15/2017,257,261,254.27,255.73,5233365
3/14/2017,246.11,258.12,246.02,258,7581719
3/13/2017,244.82,246.85,242.781,246.17,3011280
3/10/2017,246.21,246.5,243,243.69,3062785
3/9/2017,247.63,248.66,243,244.9,3876494
3/8/2017,247,250.07,245.32,246.87,3726746
3/7/2017,251.92,253.89,248.32,248.59,3452587
3/6/2017,247.91,251.7,247.51,251.21,3353601
3/3/2017,250.74,251.9,249,251.57,2925481
3/2/2017,249.71,253.28,248.27,250.48,3345751
3/1/2017,254.18,254.85,249.11,250.02,4804963
2/28/2017,244.19,251,243.9,249.99,6073890
2/27/2017,248.17,248.36,242.01,246.23,11450160
2/24/2017,252.66,258.25,250.2,257,8166869
2/23/2017,264,264.66,255.56,255.99,14877090
